frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
1,0,7,3,443.0,55792.0,68.0,67.0,,,
3,2,7,3,443.0,55792.0,68.0,67.0,,,
4,3,4,1,57562.0,443.0,68.0,67.0,,,
5,4,4,1,57562.0,443.0,68.0,67.0,,,
6,5,4,1,57562.0,443.0,68.0,67.0,,,
7,6,2,3,443.0,57562.0,68.0,67.0,,,
8,6,2,3,443.0,57562.0,68.0,67.0,,,
9,6,2,3,443.0,57562.0,68.0,67.0,,,
10,7,2,3,443.0,57562.0,68.0,67.0,,,
11,8,4,1,57562.0,443.0,68.0,67.0,,,
12,9,2,3,443.0,57562.0,68.0,67.0,,,
13,10,4,1,57562.0,443.0,68.0,67.0,,,
14,11,-1,-1,27731.553571428572,29697.321428571428,68.0,67.0,,,
15,12,4,4,55378.0,443.0,68.0,67.0,,,
16,13,6,3,443.0,55378.0,68.0,67.0,,,
17,14,4,10,57266.0,443.0,68.0,67.0,,,
18,15,11,3,443.0,57266.0,68.0,67.0,,,
19,16,6,3,443.0,55378.0,68.0,67.0,,,
20,17,4,4,55378.0,443.0,68.0,67.0,,,
21,18,8,3,443.0,55797.0,68.0,67.0,,,
22,19,4,7,55797.0,443.0,68.0,67.0,,,
23,20,8,3,443.0,55797.0,68.0,67.0,,,
24,21,9,3,443.0,57258.0,68.0,67.0,,,
25,22,4,8,57258.0,443.0,68.0,67.0,,,
26,23,9,3,443.0,57258.0,68.0,67.0,,,
27,24,4,8,57258.0,443.0,68.0,67.0,,,
28,25,9,3,443.0,57258.0,68.0,67.0,,,
29,26,9,3,443.0,57258.0,68.0,67.0,,,
30,27,4,8,57258.0,443.0,68.0,67.0,,,
31,28,-1,-1,27731.553571428572,29697.321428571428,68.0,67.0,,,
32,29,-1,-1,27731.553571428572,29697.321428571428,68.0,67.0,,,
33,30,4,4,55378.0,443.0,68.0,67.0,,,
34,31,6,3,443.0,55378.0,68.0,67.0,,,
35,32,-1,-1,27731.553571428572,29697.321428571428,68.0,67.0,,,
36,33,-1,-1,27731.553571428572,29697.321428571428,68.0,67.0,,,
37,34,-1,-1,27731.553571428572,29697.321428571428,68.0,67.0,,,
38,35,-1,-1,27731.553571428572,29697.321428571428,68.0,67.0,,,
39,36,0,5,27731.553571428572,29697.321428571428,68.0,67.0,,,
40,37,-1,-1,27731.553571428572,29697.321428571428,68.0,67.0,,,
41,38,0,5,27731.553571428572,29697.321428571428,68.0,67.0,,,
42,39,0,5,27731.553571428572,29697.321428571428,68.0,67.0,,,
43,40,-1,-1,27731.553571428572,29697.321428571428,68.0,67.0,,,
44,41,-1,-1,27731.553571428572,29697.321428571428,68.0,67.0,,,
45,42,-1,-1,27731.553571428572,29697.321428571428,68.0,67.0,,,
46,43,4,4,55378.0,443.0,68.0,67.0,,,
47,44,6,3,443.0,55378.0,68.0,67.0,,,
48,45,6,3,443.0,55378.0,68.0,67.0,,,
49,46,4,4,55378.0,443.0,68.0,67.0,,,
50,47,4,2,57857.0,443.0,68.0,67.0,,,
51,48,3,3,443.0,57857.0,68.0,67.0,,,
52,49,4,0,57272.0,443.0,68.0,67.0,,,
53,50,1,3,443.0,57272.0,68.0,67.0,,,
54,51,-1,-1,27731.553571428572,29697.321428571428,68.0,67.0,,,
55,52,4,9,57878.0,443.0,68.0,67.0,,,
56,53,10,3,443.0,57878.0,68.0,67.0,,,
57,54,4,9,57878.0,443.0,68.0,67.0,,,
58,55,4,9,57878.0,443.0,68.0,67.0,,,
59,56,10,3,443.0,57878.0,68.0,67.0,,,
60,57,10,3,443.0,57878.0,68.0,67.0,,,
61,58,4,9,57878.0,443.0,68.0,67.0,,,
62,59,4,9,57878.0,443.0,68.0,67.0,,,
63,60,4,9,57878.0,443.0,68.0,67.0,,,
64,61,10,3,443.0,57878.0,68.0,67.0,,,
65,61,10,3,443.0,57878.0,68.0,67.0,,,
66,62,10,3,443.0,57878.0,68.0,67.0,,,
67,63,4,9,57878.0,443.0,68.0,67.0,,,
68,64,4,8,57258.0,443.0,68.0,67.0,,,
69,65,9,3,443.0,57258.0,68.0,67.0,,,
70,66,9,3,443.0,57258.0,68.0,67.0,,,
